route_id,route_seq,vehicle_id,vehicle_type_id,energy_type,departure_min,departure_time,return_to_depot_min,return_to_depot_time,stop_count,service_unit_count,customer_sequence,service_unit_ids,total_weight,total_volume,distance_km,route_total_cost_with_startup,energy_cost,carbon_cost,waiting_cost,late_cost,feasible,violations
S0001,1,T4_001,4,新能源,760,12:40:00,984.734788,16:24:44,1,4,73,"[""C073_S001_OF_004"", ""C073_S002_OF_004"", ""C073_S003_OF_004"", ""C073_S004_OF_004""]",2996.466,7.5462,145.426858,513.604636,94.783712,18.820924,0.0,0.0,True,[]
S0002,2,T4_001,4,新能源,990,16:30:00,1233.172469,20:33:10,1,4,74,"[""C074_S001_OF_006"", ""C074_S002_OF_006"", ""C074_S003_OF_006"", ""C074_S004_OF_006""]",2948.500269,7.29248,131.671757,711.868801,85.279838,16.933768,0.0,209.655196,True,[]
S0003,3,T4_002,4,新能源,772,12:52:00,1253.841284,20:53:50,2,4,74->62,"[""C074_S005_OF_006"", ""C074_S006_OF_006"", ""C062_S001_OF_012"", ""C062_S002_OF_012""]",2941.632535,7.847956,116.383674,585.603138,77.203993,15.330171,93.057631,0.011343,True,[]
S0004,4,T4_001,4,新能源,1260,21:00:00,1445.682568,00:05:41,1,4,62,"[""C062_S003_OF_012"", ""C062_S004_OF_012"", ""C062_S005_OF_012"", ""C062_S006_OF_012""]",2934.7648,8.403433,97.752715,594.032265,63.268211,12.562984,0.0,118.20107,True,[]
S0005,5,T4_002,4,新能源,1260,21:00:00,1445.682568,00:05:41,1,4,62,"[""C062_S007_OF_012"", ""C062_S008_OF_012"", ""C062_S009_OF_012"", ""C062_S010_OF_012""]",2934.7648,8.403433,97.752715,594.032265,63.268211,12.562984,0.0,118.20107,True,[]
S0006,6,T4_003,4,新能源,1080,18:00:00,1343.727744,22:23:44,2,4,62->71,"[""C062_S011_OF_012"", ""C062_S012_OF_012"", ""C071_S001_OF_005"", ""C071_S002_OF_005""]",2694.20992,8.219156,131.999369,498.404458,82.101753,16.302705,0.0,0.0,True,[]
S0007,7,T4_004,4,新能源,1030,17:10:00,1328.325965,22:08:20,2,4,71->55,"[""C071_S003_OF_005"", ""C071_S004_OF_005"", ""C071_S005_OF_005"", ""C055_S001_OF_017""]",2557.749945,7.900642,151.003462,553.137236,96.240871,19.110268,0.795965,36.990132,True,[]
S0008,8,T4_005,4,新能源,990,16:30:00,1233.875614,20:33:53,1,4,55,"[""C055_S002_OF_017"", ""C055_S003_OF_017"", ""C055_S004_OF_017"", ""C055_S005_OF_017""]",2870.034659,7.497927,132.086612,502.135201,85.214422,16.920778,0.0,0.0,True,[]
S0009,9,T4_005,4,新能源,1260,21:00:00,1503.875614,01:03:53,1,4,55,"[""C055_S006_OF_017"", ""C055_S007_OF_017"", ""C055_S008_OF_017"", ""C055_S009_OF_017""]",2870.034659,7.497927,132.086612,685.416706,85.214422,16.920778,0.0,183.281506,True,[]
S0010,10,T4_006,4,新能源,990,16:30:00,1233.875614,20:33:53,1,4,55,"[""C055_S010_OF_017"", ""C055_S011_OF_017"", ""C055_S012_OF_017"", ""C055_S013_OF_017""]",2870.034659,7.497927,132.086612,502.135201,85.214422,16.920778,0.0,0.0,True,[]
S0011,11,T4_006,4,新能源,1260,21:00:00,1503.875614,01:03:53,1,4,55,"[""C055_S014_OF_017"", ""C055_S015_OF_017"", ""C055_S016_OF_017"", ""C055_S017_OF_017""]",2870.034659,7.497927,132.086612,685.416706,85.214422,16.920778,0.0,183.281506,True,[]
S0012,12,T4_004,4,新能源,569,09:29:00,857.088122,14:17:05,1,4,59,"[""C059_S001_OF_012"", ""C059_S002_OF_012"", ""C059_S003_OF_012"", ""C059_S004_OF_012""]",2940.488171,7.748357,164.154553,528.00746,106.800414,21.207046,0.0,0.0,True,[]
S0013,13,T4_003,4,新能源,569,09:29:00,857.088122,14:17:05,1,4,59,"[""C059_S005_OF_012"", ""C059_S006_OF_012"", ""C059_S007_OF_012"", ""C059_S008_OF_012""]",2940.488171,7.748357,164.154553,528.00746,106.800414,21.207046,0.0,0.0,True,[]
S0014,14,T4_005,4,新能源,569,09:29:00,857.088122,14:17:05,1,4,59,"[""C059_S009_OF_012"", ""C059_S010_OF_012"", ""C059_S011_OF_012"", ""C059_S012_OF_012""]",2940.488171,7.748357,164.154553,528.00746,106.800414,21.207046,0.0,0.0,True,[]
S0015,15,T4_007,4,新能源,834,13:54:00,1149.782518,19:09:47,2,4,84->90,"[""C084_S001_OF_003"", ""C084_S002_OF_003"", ""C084_S003_OF_003"", ""C090_S001_OF_001""]",1705.8707,4.59456,184.378164,621.144334,113.589346,22.555104,0.126283,84.873601,True,[]
S0016,16,T4_007,4,新能源,1170,19:30:00,1523.71713,01:23:43,2,4,57->50,"[""C057_S005_OF_009"", ""C050_S001_OF_011"", ""C050_S002_OF_011"", ""C050_S003_OF_011""]",2903.217734,7.774716,185.093107,867.143179,119.738926,23.776208,0.0,323.628044,True,[]
S0017,17,T4_004,4,新能源,1350,22:30:00,1608.953367,02:48:57,1,4,50,"[""C050_S004_OF_011"", ""C050_S005_OF_011"", ""C050_S006_OF_011"", ""C050_S007_OF_011""]",2891.749127,7.860432,140.982486,685.362736,91.052198,18.079968,0.0,176.230569,True,[]
