route_id,vehicle_id,vehicle_instance_id,vehicle_type_id,energy_type,stop_seq,customer_id,is_green,service_unit_ids,delivered_weight,delivered_volume,customer_tw_start,customer_tw_start_time,customer_tw_end,customer_tw_end_time,arrival_min,arrival_time,service_start_min,service_start_time,leave_min,leave_time,waiting_minutes,late_minutes,green_access_violation
S0001,T4_001,T4_001,4,新能源,1,73,False,"[""C073_S001_OF_004"", ""C073_S002_OF_004"", ""C073_S003_OF_004"", ""C073_S004_OF_004""]",2996.466,7.5462,802,13:22:00,857,14:17:00,855.349109,14:15:21,855.349109,14:15:21,875.349109,14:35:21,0.0,0.0,False
S0003,T4_001,T4_001,4,新能源,1,74,False,"[""C074_S004_OF_006"", ""C074_S005_OF_006"", ""C074_S006_OF_006""]",2211.375202,5.46936,791,13:11:00,850,14:10:00,1101.586235,18:21:35,1101.586235,18:21:35,1121.586235,18:41:35,0.0,251.586235,False
S0003,T4_001,T4_001,4,新能源,2,62,False,"[""C062_S001_OF_012""]",733.6912,2.100858,1151,19:11:00,1201,20:01:00,1124.419181,18:44:25,1151.0,19:11:00,1171.0,19:31:00,26.580819,0.0,False
S0004,T4_001,T4_001,4,新能源,1,62,False,"[""C062_S002_OF_012"", ""C062_S003_OF_012"", ""C062_S004_OF_012"", ""C062_S005_OF_012""]",2934.7648,8.403433,1151,19:11:00,1201,20:01:00,1342.841284,22:22:50,1342.841284,22:22:50,1362.841284,22:42:50,0.0,141.841284,False
S0005,T4_002,T4_002,4,新能源,1,62,False,"[""C062_S006_OF_012"", ""C062_S007_OF_012"", ""C062_S008_OF_012"", ""C062_S009_OF_012""]",2934.7648,8.403433,1151,19:11:00,1201,20:01:00,1192.841284,19:52:50,1192.841284,19:52:50,1212.841284,20:12:50,0.0,0.0,False
S0006,T4_002,T4_002,4,新能源,1,62,False,"[""C062_S010_OF_012"", ""C062_S011_OF_012"", ""C062_S012_OF_012""]",2201.0736,6.302574,1151,19:11:00,1201,20:01:00,1402.841284,23:22:50,1402.841284,23:22:50,1422.841284,23:42:50,0.0,201.841284,False
S0006,T4_002,T4_002,4,新能源,2,71,False,"[""C071_S001_OF_005""]",613.41376,2.00872,1159,19:19:00,1245,20:45:00,1437.115638,23:57:07,1437.115638,23:57:07,1457.115638,00:17:07,0.0,192.115638,False
S0007,T4_003,T4_003,4,新能源,1,71,False,"[""C071_S002_OF_005"", ""C071_S003_OF_005"", ""C071_S004_OF_005"", ""C071_S005_OF_005""]",2453.65504,8.03488,1159,19:19:00,1245,20:45:00,1236.612106,20:36:37,1236.612106,20:36:37,1256.612106,20:56:37,0.0,0.0,False
S0008,T4_004,T4_004,4,新能源,1,40,False,"[""C040_S001_OF_004"", ""C040_S002_OF_004"", ""C040_S003_OF_004"", ""C040_S004_OF_004""]",2691.1358,7.9507,1072,17:52:00,1144,19:04:00,1082.27823,18:02:17,1082.27823,18:02:17,1102.27823,18:22:17,0.0,0.0,False
S0009,T4_004,T4_004,4,新能源,1,38,False,"[""C038_S001_OF_002"", ""C038_S002_OF_002""]",1261.7326,4.06727,628,10:28:00,694,11:34:00,681.896175,11:21:54,681.896175,11:21:54,701.896175,11:41:54,0.0,0.0,False
