route_id,route_seq,vehicle_id,vehicle_instance_id,vehicle_type_id,energy_type,departure_min,departure_time,return_to_depot_min,return_to_depot_time,stop_count,service_unit_count,customer_sequence,service_unit_ids,total_weight,total_volume,distance_km,route_total_cost_with_startup,energy_cost,carbon_cost,waiting_cost,late_cost,feasible,violations
S0001,1,T4_001,T4_001,4,新能源,760,12:40:00,984.734788,16:24:44,1,4,73,"[""C073_S001_OF_004"", ""C073_S002_OF_004"", ""C073_S003_OF_004"", ""C073_S004_OF_004""]",2996.466,7.5462,145.426858,513.604636,94.783712,18.820924,0.0,0.0,True,[]
S0003,2,T4_001,T4_001,4,新能源,990,16:30:00,1253.841284,20:53:50,2,4,74->62,"[""C074_S004_OF_006"", ""C074_S005_OF_006"", ""C074_S006_OF_006"", ""C062_S001_OF_012""]",2945.066402,7.570218,116.383674,710.680249,76.895805,15.268975,8.860273,209.655196,True,[]
S0004,3,T4_001,T4_001,4,新能源,1260,21:00:00,1445.682568,00:05:41,1,4,62,"[""C062_S002_OF_012"", ""C062_S003_OF_012"", ""C062_S004_OF_012"", ""C062_S005_OF_012""]",2934.7648,8.403433,97.752715,594.032265,63.268211,12.562984,0.0,118.20107,True,[]
S0005,4,T4_002,T4_002,4,新能源,1110,18:30:00,1295.682568,21:35:41,1,4,62,"[""C062_S006_OF_012"", ""C062_S007_OF_012"", ""C062_S008_OF_012"", ""C062_S009_OF_012""]",2934.7648,8.403433,97.752715,475.831195,63.268211,12.562984,0.0,0.0,True,[]
S0006,5,T4_002,T4_002,4,新能源,1320,22:00:00,1583.727744,02:23:44,2,4,62->71,"[""C062_S010_OF_012"", ""C062_S011_OF_012"", ""C062_S012_OF_012"", ""C071_S001_OF_005""]",2814.48736,8.311294,131.999369,826.756962,82.147699,16.311828,0.0,328.297435,True,[]
S0007,6,T4_003,T4_003,4,新能源,1110,18:30:00,1383.224212,23:03:13,1,4,71,"[""C071_S002_OF_005"", ""C071_S003_OF_005"", ""C071_S004_OF_005"", ""C071_S005_OF_005""]",2453.65504,8.03488,149.402285,513.120892,94.38011,18.740782,0.0,0.0,True,[]
S0008,7,T4_004,T4_004,4,新能源,990,16:30:00,1194.55646,19:54:33,1,4,40,"[""C040_S001_OF_004"", ""C040_S002_OF_004"", ""C040_S003_OF_004"", ""C040_S004_OF_004""]",2691.1358,7.9507,108.888311,483.444596,69.620297,13.824299,0.0,0.0,True,[]
S0009,8,T4_004,T4_004,4,新能源,578,09:38:00,871.375098,14:31:23,2,4,38->7,"[""C038_S001_OF_002"", ""C038_S002_OF_002"", ""C007_S001_OF_010"", ""C007_S002_OF_010""]",2754.37916,7.770148,147.136417,514.622948,95.63332,18.989628,0.0,0.0,True,[]
S0010,9,T4_003,T4_003,4,新能源,780,13:00:00,954.642013,15:54:39,1,4,7,"[""C007_S003_OF_010"", ""C007_S004_OF_010"", ""C007_S005_OF_010"", ""C007_S006_OF_010""]",2985.29312,7.405757,124.405454,497.060598,80.980531,16.080067,0.0,0.0,True,[]
S0011,10,T4_002,T4_002,4,新能源,780,13:00:00,954.642013,15:54:39,1,4,7,"[""C007_S007_OF_010"", ""C007_S008_OF_010"", ""C007_S009_OF_010"", ""C007_S010_OF_010""]",2985.29312,7.405757,124.405454,497.060598,80.980531,16.080067,0.0,0.0,True,[]
S0012,11,T4_004,T4_004,4,新能源,1199,19:59:00,1404.157691,23:24:09,2,4,4->10,"[""C004_S001_OF_002"", ""C004_S002_OF_002"", ""C010_S001_OF_006"", ""C010_S002_OF_006""]",2696.890433,8.398268,97.443038,550.83036,61.012516,12.115077,0.0,77.702768,True,[]
S0013,12,T4_005,T4_005,4,新能源,1140,19:00:00,1326.571697,22:06:34,1,4,10,"[""C010_S003_OF_006"", ""C010_S004_OF_006"", ""C010_S005_OF_006"", ""C010_S006_OF_006""]",2506.656667,9.704993,98.277301,474.612541,62.251452,12.361089,0.0,0.0,True,[]
S0014,13,T4_005,T4_005,4,新能源,1335,22:15:00,1524.721785,01:24:43,2,4,5->6,"[""C005_S001_OF_001"", ""C006_S001_OF_006"", ""C006_S002_OF_006"", ""C006_S003_OF_006""]",2968.4221,8.30399,88.335853,1168.154131,57.724175,11.46212,0.0,698.967836,True,[]
S0015,14,T4_005,T4_005,4,新能源,646,10:46:00,1006.748227,16:46:45,2,4,6->3,"[""C006_S004_OF_006"", ""C006_S005_OF_006"", ""C006_S006_OF_006"", ""C003_S001_OF_001""]",2471.8397,6.69508,113.418648,507.402229,69.677476,13.835653,23.167327,0.721773,True,[]
S0016,15,T4_006,T4_006,4,新能源,794,13:14:00,1355.046322,22:35:03,3,5,39->78->97,"[""C039_S001_OF_006"", ""C078_S001_OF_003"", ""C078_S002_OF_003"", ""C078_S003_OF_003"", ""C097_S001_OF_001""]",2570.686267,6.433972,203.120073,895.685168,132.876513,26.3849,71.996439,264.427315,True,[]
S0017,16,T4_007,T4_007,4,新能源,575,09:35:00,1118.167034,18:38:10,3,4,76->85->31,"[""C076_S001_OF_002"", ""C076_S002_OF_002"", ""C085_S001_OF_001"", ""C031_S001_OF_010""]",2527.29408,7.031726,97.793736,583.174386,60.643121,12.041727,110.489537,0.0,True,[]
