event_id,event_type,event_time_min,status,validation_ok,route_count,used_vehicle_count,total_cost,total_distance_km,energy_cost,carbon_cost,waiting_cost,late_cost,frozen_unit_count,residual_unit_count,added_route_count,removed_route_count,changed_assignment_count,arc_disruption_count,disruption_proxy
Q3_R_NEW_01,new_order,780.0,ok,True,104,35,49507.06705052028,12321.78974967704,21017.309744381906,4516.883981344219,615.2888007809186,9357.584524013242,146,282,1,0,0,2,2.0
Q3_R_NEW_02,new_order,795.0,ok,True,104,35,49543.207022381044,12375.92259695368,21047.462393048587,4522.871304538307,615.2888007809186,9357.584524013242,157,271,1,0,0,2,2.0
Q3_R_NEW_03,new_order,810.0,ok,True,104,35,49540.95290586627,12372.747640910384,21045.581716893503,4522.49786417861,615.2888007809186,9357.584524013242,161,267,1,0,0,2,2.0
Q3_R_NEW_04,new_order,825.0,ok,True,104,35,49561.70902102745,12403.709727124278,21062.89915838325,4525.936537850034,615.2888007809186,9357.584524013242,165,263,1,0,0,2,2.0
Q3_R_CANCEL_01,cancel_order,840.0,ok,True,103,34,49055.26081291669,12254.307439555576,20974.176208157318,4508.211279965214,615.2888007809186,9357.584524013242,177,249,0,0,0,0,0.0
Q3_R_CANCEL_02,cancel_order,855.0,ok,True,103,34,49051.566816115956,12254.307439555576,20971.142247339714,4507.551243982089,615.2888007809186,9357.584524013242,186,240,0,0,0,0,0.0
Q3_R_CANCEL_03,cancel_order,870.0,ok,True,103,34,49059.79755297084,12254.307439555576,20977.871402876004,4509.052825300684,615.2888007809186,9357.584524013242,198,228,0,0,0,0,0.0
Q3_R_CANCEL_04,cancel_order,885.0,ok,True,103,34,49052.126277377145,12254.307439555576,20971.60174517822,4507.651207404761,615.2888007809186,9357.584524013242,206,220,0,0,0,0,0.0
Q3_R_ADDRESS_01,address_change,900.0,ok,True,104,36,50074.20027042681,12386.92376184436,21128.309185762104,4540.707867409657,615.1898291475463,9389.993388107509,213,214,1,0,1,5,6.0
Q3_R_ADDRESS_02,address_change,915.0,ok,True,104,35,49612.88941279109,12480.260544810953,21105.7890188049,4534.227069192034,615.2888007809186,9357.584524013242,213,214,1,0,1,2,3.0
Q3_R_ADDRESS_03,address_change,930.0,ok,True,104,35,49579.67754553984,12450.474248469154,21078.207750625144,4528.596470120537,615.2888007809186,9357.584524013242,226,201,1,0,1,2,3.0
Q3_R_ADDRESS_04,address_change,945.0,ok,True,104,34,49440.173917288026,12332.377060097353,21133.46820713201,4542.865139216534,615.2888007809186,9548.551770158565,234,193,1,0,1,2,3.0
Q3_R_TW_01,time_window_change,960.0,ok,True,104,34,49548.01228054062,12385.9791964627,21248.39115785301,4567.925935670907,615.2888007809186,9516.406386235789,254,173,1,0,1,2,3.0
Q3_R_TW_02,time_window_change,975.0,ok,True,104,34,49534.022088256934,12386.394051552992,21248.981055410663,4568.052869070883,615.2888007809186,9501.699362994468,254,173,1,0,1,2,3.0
Q3_R_TW_03,time_window_change,990.0,ok,True,104,34,49506.777796728486,12391.249724707934,21249.160011036496,4568.033807541643,615.2888007809186,9474.295177369428,266,161,1,0,1,2,3.0
Q3_R_TW_04,time_window_change,1005.0,ok,True,104,35,49582.07088128774,12448.476803784008,21080.15810891059,4529.039447582993,615.2888007809186,9357.584524013242,266,161,1,0,1,2,3.0
