event_id,event_type,event_time_min,status,validation_ok,route_count,used_vehicle_count,total_cost,total_distance_km,energy_cost,carbon_cost,waiting_cost,late_cost,frozen_unit_count,residual_unit_count,added_route_count,removed_route_count,changed_assignment_count,arc_disruption_count,disruption_proxy
Q3_R_NEW_01,new_order,731.0,ok,True,104,34,49221.208483531824,12321.78974967704,21110.472679859613,4537.862478878056,615.2888007809186,9357.584524013242,101,327,1,0,0,2,2.0
Q3_R_NEW_03,new_order,759.0,ok,True,105,35,49700.00123486158,12440.229951031848,21176.21180543171,4550.916104635711,615.2888007809186,9357.584524013242,101,328,1,0,0,2,2.0
Q3_R_ADDRESS_02,address_change,771.0,ok,True,106,35,49985.286684716135,12666.183056287226,21302.1455424143,4575.6964154911675,615.2888007809186,9492.15592602975,105,324,1,0,1,2,3.0
Q3_R_CANCEL_01,cancel_order,806.0,ok,True,106,35,49978.372132679775,12666.183056287226,21296.46646874931,4574.460937119804,615.2888007809186,9492.15592602975,138,290,0,0,0,0,0.0
Q3_R_NEW_02,new_order,818.0,ok,True,107,36,50459.38345698426,12787.79821368533,21364.056615448546,4587.882114725052,615.2888007809186,9492.15592602975,142,287,1,0,0,2,2.0
Q3_R_CANCEL_03,cancel_order,833.0,ok,True,107,36,50457.005645002064,12787.79821368533,21362.07273650224,4587.488181689159,615.2888007809186,9492.15592602975,145,283,0,0,0,0,0.0
Q3_R_NEW_04,new_order,842.0,ok,True,108,36,50738.67790037233,12937.200501254032,21445.084777163003,4603.971639641097,615.2888007809186,9674.33268278731,152,277,1,0,0,2,2.0
Q3_R_CANCEL_02,cancel_order,851.0,ok,True,108,36,50728.06935153524,12937.200501254032,21436.371742680407,4602.076125286608,615.2888007809186,9674.33268278731,156,272,0,0,0,0,0.0
Q3_R_CANCEL_04,cancel_order,869.0,ok,True,108,36,50718.02026395934,12937.200501254032,21428.118206036317,4600.2805743547915,615.2888007809186,9674.33268278731,166,261,0,0,0,0,0.0
Q3_R_ADDRESS_01,address_change,888.0,ok,True,109,38,51721.77234472467,13069.816823542817,21569.777457091917,4630.063511603636,615.1898291475463,9706.741546881576,188,239,1,0,1,5,6.0
Q3_R_ADDRESS_04,address_change,902.0,ok,True,110,38,51837.44266359649,13147.886444084594,21609.971524379493,4637.905850375887,615.1898291475463,9774.375459693567,195,232,1,0,1,2,3.0
Q3_R_ADDRESS_03,address_change,924.0,ok,True,111,38,52136.81405951773,13344.053252998172,21708.323993182326,4657.055562159846,615.1898291475463,9956.244675028016,201,226,1,0,1,2,3.0
Q3_R_TW_01,time_window_change,943.0,ok,True,112,38,52466.300367993754,13475.725009905296,21976.85986921303,4715.534739494176,617.6610842585279,9956.244675028016,216,211,1,0,1,2,3.0
Q3_R_TW_04,time_window_change,958.0,ok,True,113,38,52824.15447488525,13669.894374133728,22077.162696301308,4735.12742874059,617.6610842585279,10194.203265584818,222,205,1,0,1,2,3.0
Q3_R_TW_02,time_window_change,976.0,ok,True,114,38,53296.83453152245,13801.980986131144,22346.288469889656,4793.733539474896,617.6610842585279,10339.151437899376,234,193,1,0,1,2,3.0
Q3_R_TW_03,time_window_change,997.0,ok,True,115,38,53747.27029663123,13938.923271283502,22615.593199103845,4852.3205886799615,617.6610842585279,10461.695424588894,245,182,1,0,1,2,3.0
