event_id,event_type,event_time_min,status,validation_ok,route_count,used_vehicle_count,total_cost,total_distance_km,energy_cost,carbon_cost,waiting_cost,late_cost,frozen_unit_count,residual_unit_count,added_route_count,removed_route_count,changed_assignment_count,arc_disruption_count,disruption_proxy
Q3_R_NEW_01,new_order,731.0,ok,True,104,34,49221.208483531824,12321.78974967704,21110.472679859613,4537.862478878056,615.2888007809186,9357.584524013242,121,307,1,0,0,2,2.0
Q3_R_NEW_03,new_order,759.0,ok,True,104,35,49540.9681162828,12372.747640910384,21045.59440739441,4522.500384094233,615.2888007809186,9357.584524013242,121,307,1,0,0,2,2.0
Q3_R_ADDRESS_02,address_change,771.0,ok,True,104,35,49612.88941279109,12480.260544810953,21105.7890188049,4534.227069192034,615.2888007809186,9357.584524013242,125,302,1,0,1,2,3.0
Q3_R_CANCEL_01,cancel_order,806.0,ok,True,103,34,49055.26081291669,12254.307439555576,20974.176208157318,4508.211279965214,615.2888007809186,9357.584524013242,161,265,0,0,0,0,0.0
Q3_R_NEW_02,new_order,818.0,ok,True,104,35,49543.18668925753,12375.92259695368,21047.445428521547,4522.867935941826,615.2888007809186,9357.584524013242,161,267,1,0,0,2,2.0
Q3_R_CANCEL_03,cancel_order,833.0,ok,True,103,34,49059.79755297084,12254.307439555576,20977.871402876004,4509.052825300684,615.2888007809186,9357.584524013242,165,261,0,0,0,0,0.0
Q3_R_NEW_04,new_order,842.0,ok,True,104,35,49561.70902102745,12403.709727124278,21062.89915838325,4525.936537850034,615.2888007809186,9357.584524013242,177,251,1,0,0,2,2.0
Q3_R_CANCEL_02,cancel_order,851.0,ok,True,103,34,49051.566816115956,12254.307439555576,20971.142247339714,4507.551243982089,615.2888007809186,9357.584524013242,181,245,0,0,0,0,0.0
Q3_R_CANCEL_04,cancel_order,869.0,ok,True,103,34,49052.126277377145,12254.307439555576,20971.60174517822,4507.651207404761,615.2888007809186,9357.584524013242,190,236,0,0,0,0,0.0
Q3_R_ADDRESS_01,address_change,888.0,ok,True,104,36,50074.20027042681,12386.92376184436,21128.309185762104,4540.707867409657,615.1898291475463,9389.993388107509,206,221,1,0,1,5,6.0
Q3_R_ADDRESS_04,address_change,902.0,ok,True,104,34,49441.8405839547,12332.377060097353,21133.46820713201,4542.865139216534,615.2888007809186,9550.218436825233,213,214,1,0,1,2,3.0
Q3_R_ADDRESS_03,address_change,924.0,ok,True,104,35,49579.67754553984,12450.474248469154,21078.207750625144,4528.596470120537,615.2888007809186,9357.584524013242,218,209,1,0,1,2,3.0
Q3_R_TW_01,time_window_change,943.0,ok,True,104,35,49554.63876094337,12385.9791964627,21057.000231037142,4524.765205112071,615.2888007809186,9357.584524013242,234,193,1,0,1,2,3.0
Q3_R_TW_04,time_window_change,958.0,ok,True,104,35,49582.07088128774,12448.476803784008,21080.15810891059,4529.039447582993,615.2888007809186,9357.584524013242,242,185,1,0,1,2,3.0
Q3_R_TW_02,time_window_change,976.0,ok,True,104,34,49534.85542159026,12386.394051552992,21248.981055410663,4568.052869070883,615.2888007809186,9502.5326963278,254,173,1,0,1,2,3.0
Q3_R_TW_03,time_window_change,997.0,ok,True,104,34,49512.611130061814,12391.249724707934,21249.160011036496,4568.033807541643,615.2888007809186,9480.12851070276,266,161,1,0,1,2,3.0
